 KBKF    NBM V5.0 NBP GUIDANCE    9/19/2026  1900 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  50| 73  48| 75  50| 82  54| 81  53| 82  55| 82  55| 84  54| 83  54| 83
 TXNSD   2|  3   3|  3   2|  2   3|  2   3|  3   3|  4   3|  4   4|  5   4|  5
 TXNP1  48| 70  45| 72  47| 79  49| 79  50| 79  51| 79  51| 79  50| 75  49| 75
 TXNP2  49| 72  47| 73  49| 80  52| 80  52| 81  53| 81  53| 83  52| 82  51| 82
 TXNP5  50| 73  48| 75  50| 82  54| 82  54| 83  55| 83  55| 85  55| 85  54| 85
 TXNP7  51| 75  49| 77  51| 83  55| 83  55| 84  57| 85  57| 86  57| 86  57| 86
 TXNP9  53| 77  51| 79  53| 84  57| 84  56| 85  59| 86  58| 88  58| 88  59| 88
 WSPP1   0|  5   0|  7   4|  6   4|  3   1|  5   3|  4   3|  1   4|  0   3|  3
 WSPP2   3|  7   0|  9   5|  8   5|  5   3|  7   4|  7   5|  5   5|  5   4|  6
 WSPP5   4|  9   2| 10   6| 10   6|  7   4|  9   6| 10   6|  7   6|  8   6|  9
 WSPP7   6| 11   4| 12   9| 13   9|  9   6| 11   8| 14   9| 10   8| 10   9| 10
 WSPP9   8| 13   6| 13  11| 15  12| 11   7| 12  12| 19  12| 13   9| 12  12| 13
 W24P1    | 11    | 12    | 15    | 12    | 12    | 12    | 12    | 12    |
 W24P2    | 13    | 13    | 16    | 14    | 13    | 15    | 13    | 14    |
 W24P5    | 15    | 15    | 18    | 16    | 15    | 18    | 16    | 16    |
 W24P7    | 16    | 17    | 20    | 17    | 17    | 20    | 19    | 17    |
 W24P9    | 18    | 18    | 21    | 20    | 18    | 26    | 21    | 19    |
 G24P1    | 17    | 18    | 22    | 18    | 18    | 18    | 17    | 19    |
 G24P2    | 19    | 20    | 25    | 21    | 20    | 22    | 21    | 20    |
 G24P5    | 21    | 23    | 27    | 23    | 23    | 28    | 24    | 23    |
 G24P7    | 24    | 26    | 30    | 27    | 25    | 31    | 29    | 26    |
 G24P9    | 26    | 30    | 33    | 31    | 28    | 39    | 32    | 29    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      3|      0|      0|      0|      0|      6|      1|      6|
 Q24P9    |     12|      3|     10|      7|     15|     30|     13|     49|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 015|011 018|011 016|010 014|011 016|011 014|009 011|005 008|003 008|003
 SLPP2 015|013 019|013 018|011 015|012 017|013 017|011 013|008 012|007 010|005
 SLPP5 017|015 020|015 019|013 018|014 019|016 019|013 015|010 015|010 013|008
 SLPP7 018|016 021|016 020|015 019|016 021|017 021|015 018|013 019|014 017|012
 SLPP9 018|016 022|017 022|016 021|017 023|019 023|018 021|018 023|018 019|014
