 KDAL    NBM V5.0 NBP GUIDANCE    9/19/2026  1900 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  80| 99  79| 97  77| 94  75| 94  76| 94  75| 92  75| 93  75| 95  76| 95
 TXNSD   1|  1   3|  4   4|  4   5|  4   5|  4   5|  5   5|  6   5|  6   6|  6
 TXNP1  78| 98  75| 91  71| 88  67| 88  68| 88  68| 86  68| 84  67| 85  68| 85
 TXNP2  79| 98  78| 97  75| 90  72| 91  72| 91  72| 88  71| 88  71| 89  72| 89
 TXNP5  80| 99  79| 98  78| 93  77| 96  77| 96  78| 92  78| 96  78| 97  78| 97
 TXNP7  81|100  80| 99  79| 98  79| 97  80| 97  79| 97  79| 97  79| 99  80| 99
 TXNP9  81|100  81|100  80| 98  80| 98  81| 98  80| 98  80| 99  80|100  81|100
 WSPP1   6|  0   0|  0   2|  5   3|  6   4|  4   1|  4   2|  3   2|  3   3|  0
 WSPP2   7|  5   0|  0   5|  7   5|  7   5|  6   3|  6   4|  5   4|  5   4|  5
 WSPP5   7|  6   4|  5   6|  9   7|  8   6|  8   5|  8   5|  7   5|  7   6|  7
 WSPP7   8|  8   5|  7   8| 10   8|  9   6|  9   6|  9   6|  8   6|  9   7| 10
 WSPP9   9|  9   6|  8   9| 10   9| 10   7|  9   7|  9   7|  9   7| 10   9| 11
 W24P1    | 11    |  9    | 10    | 10    |  9    |  9    |  9    |  9    |
 W24P2    | 11    |  9    | 11    | 10    | 10    | 10    | 10    | 10    |
 W24P5    | 12    | 11    | 12    | 11    | 11    | 11    | 11    | 11    |
 W24P7    | 14    | 12    | 14    | 13    | 12    | 12    | 12    | 13    |
 W24P9    | 15    | 14    | 15    | 13    | 13    | 13    | 13    | 15    |
 G24P1    | 19    | 15    | 15    | 16    | 15    | 16    | 14    | 15    |
 G24P2    | 20    | 16    | 18    | 18    | 17    | 18    | 17    | 17    |
 G24P5    | 23    | 19    | 21    | 20    | 18    | 19    | 19    | 20    |
 G24P7    | 26    | 22    | 23    | 23    | 20    | 22    | 22    | 23    |
 G24P9    | 27    | 25    | 26    | 24    | 23    | 23    | 23    | 26    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |     11|      6|      0|      0|      0|      0|      0|      0|
 Q24P9    |     55|     39|      3|      0|      0|      0|      0|     11|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 012|007 012|010 014|013 016|015 017|014 016|013 015|011 012|008 008|004
 SLPP2 012|008 013|010 015|014 018|016 018|015 017|014 016|013 014|009 011|007
 SLPP5 013|009 013|011 016|014 019|017 019|016 019|016 017|014 015|011 013|010
 SLPP7 013|010 013|012 017|015 020|018 021|018 020|017 019|015 017|013 015|012
 SLPP9 014|011 014|013 017|016 021|019 022|019 021|018 021|018 019|016 018|014
