 KHOU    NBM V5.0 NBP GUIDANCE    9/19/2026  1900 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  77| 94  78| 95  79| 97  81| 96  80| 94  78| 93  77| 93  76| 93  76| 93
 TXNSD   1|  2   2|  2   2|  2   2|  2   2|  3   3|  3   3|  4   4|  4   4|  4
 TXNP1  75| 92  76| 93  76| 94  78| 93  78| 91  73| 89  73| 86  73| 86  72| 86
 TXNP2  75| 93  77| 94  77| 95  79| 94  79| 93  77| 91  75| 91  75| 90  75| 90
 TXNP5  77| 94  78| 95  79| 97  81| 96  80| 95  79| 93  78| 93  77| 93  76| 93
 TXNP7  77| 96  79| 96  80| 98  82| 97  81| 96  80| 96  79| 95  79| 96  79| 96
 TXNP9  78| 97  80| 98  80| 99  84| 98  82| 97  81| 97  81| 97  80| 97  80| 97
 WSPP1   0|  8   0|  6   0|  3   0|  5   3|  5   3|  5   3|  4   0|  5   0|  4
 WSPP2   0|  8   0|  7   3|  5   3|  6   5|  7   5|  6   5|  6   2|  7   3|  7
 WSPP5   0|  9   0|  8   4|  7   4|  7   7|  8   8|  8   6|  8   5|  9   5|  9
 WSPP7   4| 10   4|  9   6|  8   6|  9   9|  9   9|  9   8| 10   6| 11   7| 11
 WSPP9   5| 11   5| 10   6|  9   8| 10  10| 10  10| 10   9| 11   8| 12   8| 12
 W24P1    | 11    | 10    |  9    | 11    | 11    | 10    | 10    | 10    |
 W24P2    | 12    | 11    | 10    | 12    | 13    | 12    | 12    | 11    |
 W24P5    | 13    | 12    | 11    | 14    | 14    | 13    | 13    | 14    |
 W24P7    | 14    | 13    | 12    | 15    | 16    | 15    | 14    | 15    |
 W24P9    | 16    | 14    | 13    | 16    | 16    | 16    | 16    | 17    |
 G24P1    | 16    | 13    | 11    | 14    | 16    | 16    | 15    | 14    |
 G24P2    | 18    | 14    | 13    | 17    | 19    | 18    | 17    | 17    |
 G24P5    | 19    | 17    | 15    | 20    | 21    | 20    | 20    | 20    |
 G24P7    | 22    | 19    | 18    | 23    | 24    | 23    | 22    | 24    |
 G24P9    | 24    | 21    | 19    | 25    | 26    | 26    | 24    | 26    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      0|      0|      0|      2|      0|      0|      0|      4|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 013|010 012|010 012|011 014|013 014|013 014|013 014|011 012|009 009|007
 SLPP2 013|010 012|010 013|012 015|014 016|014 016|013 015|012 014|011 011|008
 SLPP5 013|011 013|011 014|012 016|015 016|015 016|015 016|014 015|012 012|010
 SLPP7 014|011 013|012 014|013 017|016 018|016 017|015 017|015 016|013 014|012
 SLPP9 014|012 014|012 015|014 017|016 018|017 018|017 018|016 016|015 015|013
