 KLGA    NBM V5.0 NBP GUIDANCE    9/19/2026  1900 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  65| 72  64| 70  59| 64  57| 65  56| 65  56| 66  58| 68  59| 70  61| 70
 TXNSD   2|  3   3|  3   3|  3   2|  3   3|  4   4|  6   3|  6   3|  6   4|  6
 TXNP1  62| 68  60| 65  56| 59  54| 61  52| 60  52| 58  54| 59  55| 62  55| 62
 TXNP2  64| 70  62| 68  57| 63  55| 63  54| 63  54| 61  55| 63  57| 66  57| 66
 TXNP5  66| 72  64| 70  59| 65  57| 66  56| 65  56| 66  57| 67  59| 72  62| 72
 TXNP7  67| 75  66| 72  60| 67  58| 68  58| 67  57| 72  60| 73  63| 75  63| 75
 TXNP9  67| 77  67| 73  63| 68  59| 69  62| 69  62| 73  63| 75  64| 76  65| 76
 WSPP1   7|  6  11|  7  10|  9  12| 11  11|  8   9|  5   8|  5   5|  3   4|  3
 WSPP2   8|  8  12|  8  11| 11  13| 13  12| 11  10|  9   9|  8   7|  6   6|  6
 WSPP5   9| 10  13| 10  12| 13  14| 15  14| 14  13| 13  12| 11  10|  8   8|  8
 WSPP7  10| 12  14| 11  14| 15  16| 17  17| 17  16| 17  15| 15  12| 12  11| 10
 WSPP9  12| 14  15| 12  15| 17  17| 20  18| 20  18| 21  20| 21  17| 15  14| 14
 W24P1    | 14    | 16    | 16    | 20    | 17    | 14    | 13    | 10    |
 W24P2    | 16    | 17    | 17    | 21    | 19    | 16    | 16    | 13    |
 W24P5    | 18    | 18    | 19    | 23    | 22    | 20    | 20    | 16    |
 W24P7    | 21    | 20    | 21    | 25    | 24    | 24    | 24    | 20    |
 W24P9    | 22    | 21    | 23    | 27    | 27    | 29    | 29    | 25    |
 G24P1    | 24    | 25    | 25    | 31    | 28    | 23    | 20    | 16    |
 G24P2    | 26    | 27    | 27    | 34    | 31    | 26    | 25    | 20    |
 G24P5    | 29    | 30    | 30    | 37    | 36    | 34    | 32    | 26    |
 G24P7    | 33    | 32    | 33    | 41    | 40    | 41    | 40    | 34    |
 G24P9    | 37    | 35    | 37    | 45    | 45    | 48    | 49    | 43    |
 Q24P1    |     17|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |     29|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |     58|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |     90|      4|      8|      0|     30|     38|     39|      2|
 Q24P9    |    146|     37|     46|     17|    165|    211|    160|     76|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 016|010 014|018 022|024 026|026 022|015 011|011 011|012 010|009 010|009
 SLPP2 017|010 016|020 024|026 029|027 024|020 016|015 016|015 016|014 012|013
 SLPP5 018|012 018|021 025|028 030|030 028|025 022|021 020|020 019|017 018|016
 SLPP7 019|014 018|022 026|029 033|033 032|029 026|024 023|022 022|022 022|020
 SLPP9 020|015 019|022 027|030 034|034 033|030 028|026 027|026 026|024 026|023
