 KMIA    NBM V5.0 NBP GUIDANCE    9/19/2026  1900 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  77| 89  76| 89  78| 89  77| 89  77| 89  78| 90  77| 89  75| 88  76| 88
 TXNSD   3|  2   1|  2   3|  2   1|  3   1|  3   2|  2   2|  3   2|  3   3|  3
 TXNP1  74| 88  74| 86  74| 87  76| 86  75| 86  76| 88  74| 86  73| 84  72| 84
 TXNP2  75| 88  75| 88  76| 88  77| 88  76| 88  77| 89  76| 88  74| 87  73| 87
 TXNP5  76| 90  76| 89  77| 90  78| 89  77| 89  77| 90  77| 90  76| 89  76| 89
 TXNP7  78| 90  77| 90  81| 91  78| 91  78| 91  80| 91  77| 91  76| 90  79| 90
 TXNP9  82| 91  78| 91  82| 91  79| 91  78| 92  82| 91  78| 91  78| 91  81| 91
 WSPP1   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0
 WSPP2   0|  0   0|  0   0|  0   0|  0   2|  0   3|  0   3|  3   4|  0   0|  0
 WSPP5   0|  0   2|  3   3|  4   3|  4   5|  4   5|  4   6|  5   6|  5   5|  5
 WSPP7   4|  5   5|  6   5|  6   5|  6   6|  6   7|  7   7|  7   8|  7   8|  8
 WSPP9   5|  7   7|  7   7|  8   8|  9   8|  9   9| 10  10| 10  11| 10  10| 10
 W24P1    |  7    |  8    |  8    |  8    |  9    |  8    |  9    | 10    |
 W24P2    |  8    | 10    | 10    |  9    |  9    |  9    | 10    | 10    |
 W24P5    | 10    | 11    | 11    | 11    | 11    | 11    | 11    | 12    |
 W24P7    | 11    | 13    | 13    | 13    | 13    | 13    | 14    | 15    |
 W24P9    | 13    | 15    | 15    | 17    | 16    | 16    | 18    | 17    |
 G24P1    | 14    | 15    | 14    | 14    | 15    | 15    | 16    | 16    |
 G24P2    | 15    | 17    | 17    | 16    | 16    | 17    | 17    | 18    |
 G24P5    | 17    | 19    | 20    | 19    | 19    | 19    | 20    | 21    |
 G24P7    | 20    | 23    | 23    | 24    | 24    | 24    | 25    | 25    |
 G24P9    | 22    | 25    | 26    | 30    | 27    | 28    | 31    | 30    |
 Q24P1    |      5|      9|      4|      3|      0|      0|      0|      0|
 Q24P2    |     21|     26|     28|     26|      7|      7|      3|      0|
 Q24P5    |     57|     67|     75|     78|     44|     24|     35|     16|
 Q24P7    |    110|    113|    110|    167|     92|     77|    105|     92|
 Q24P9    |    176|    209|    160|    299|    210|    143|    221|    144|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 012|010 011|010 012|012 013|012 011|011 011|010 011|010 010|009 009|008
 SLPP2 013|011 012|011 013|012 014|013 013|012 012|011 012|012 011|011 011|010
 SLPP5 013|012 012|012 013|013 015|014 014|013 013|013 013|012 013|012 012|012
 SLPP7 014|012 013|013 014|014 015|015 015|014 014|014 014|014 014|013 014|013
 SLPP9 014|013 014|013 015|015 016|016 015|014 015|014 015|014 015|014 014|014
