 KORD    NBM V5.0 NBP GUIDANCE    9/19/2026  1900 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  65| 69  59| 64  55| 62  55| 63  55| 65  56| 69  56| 72  56| 73  58| 73
 TXNSD   3|  2   2|  2   2|  2   3|  3   3|  3   3|  4   3|  3   3|  4   3|  4
 TXNP1  61| 66  55| 62  54| 59  52| 60  52| 62  53| 64  53| 66  51| 66  54| 66
 TXNP2  63| 67  57| 63  54| 60  54| 61  53| 63  55| 66  55| 71  54| 72  56| 72
 TXNP5  66| 69  59| 64  55| 62  54| 63  54| 65  55| 70  56| 72  57| 74  57| 74
 TXNP7  67| 70  60| 65  56| 63  55| 64  56| 66  58| 72  58| 73  58| 75  59| 75
 TXNP9  68| 72  61| 66  58| 64  59| 67  59| 70  61| 73  60| 75  60| 76  61| 76
 WSPP1   5| 10   9| 10   8|  9   7|  7   4|  5   0|  5   0|  4   0|  3   0|  2
 WSPP2   7| 12  10| 11   9| 10   8|  9   5|  7   4|  6   2|  5   0|  4   3|  4
 WSPP5  10| 14  11| 12  10| 12   9| 10   7|  8   5|  7   4|  6   3|  6   5|  6
 WSPP7  11| 15  12| 14  11| 13  10| 11   8|  9   7|  8   5|  7   5|  7   7|  8
 WSPP9  13| 17  13| 16  13| 15  11| 13   9| 10   8|  9   6|  8   7|  9   9| 10
 W24P1    | 16    | 16    | 15    | 13    | 10    |  9    |  8    |  7    |
 W24P2    | 17    | 17    | 16    | 14    | 11    | 11    |  9    |  8    |
 W24P5    | 19    | 18    | 17    | 16    | 13    | 12    | 10    | 10    |
 W24P7    | 20    | 19    | 19    | 17    | 14    | 14    | 12    | 12    |
 W24P9    | 22    | 21    | 22    | 19    | 16    | 15    | 13    | 14    |
 G24P1    | 25    | 24    | 21    | 17    | 12    | 10    |  9    |  8    |
 G24P2    | 27    | 25    | 23    | 20    | 15    | 13    | 11    |  9    |
 G24P5    | 30    | 29    | 27    | 24    | 18    | 16    | 14    | 13    |
 G24P7    | 33    | 32    | 32    | 28    | 21    | 19    | 17    | 17    |
 G24P9    | 38    | 37    | 38    | 32    | 23    | 23    | 19    | 21    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |     10|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |     19|      7|      0|      0|      0|      0|      0|      0|
 Q24P7    |     44|     56|      0|      0|      0|      0|      0|      0|
 Q24P9    |    121|    120|     26|      2|      0|      0|      0|     21|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 011|015 017|016 019|020 021|022 022|020 022|020 020|017 015|012 011|009
 SLPP2 012|016 019|019 022|022 023|023 023|022 023|022 022|019 018|015 014|011
 SLPP5 014|017 020|020 023|023 025|025 025|024 025|024 024|021 020|018 017|016
 SLPP7 014|018 021|022 025|025 028|027 028|027 027|025 025|023 022|020 021|018
 SLPP9 015|019 022|023 026|027 030|029 029|028 029|026 027|025 025|022 023|021
